IDG P-A（家）,ISG P-A（家）,会议形式（自主或展会/论坛等）,城市,备注,大区,客户人数,执行季度,执行月,日期,是否住宿,是否包含XC内容,是否邀请CLT,活动简介/申请理由（请列出PA客户及核心客户）,父记录,目标客户群（B2/B3）多选,类别,纵队,纵队细分行业（例如教育-高教）,订单产出时间,预估SQL数量,预估SQL金额M＄,预计产出订单金额（M＄）,展会/论坛名称
6,8,自主,苏州,,华东,30,Q3,11月,1732809600000.0,是,否,否,主要针对苏州制造业客户群，以智能制造和供应链等内容为核心的沟通交流,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B2', 'B3']",标准站,['制造'],,Q3-Q4,25,4.5,1.2,
,,自主,无锡,,华东,30,Q3,11月,1732809600000.0,是,否,是,覆盖江苏芯片客户,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B2', 'B3']",精品站,['制造'],,,15,3.5,,
,7,自主,杭州,,东南,25,Q3,11月,1732896000000.0,是,是,否,杭州重点高校客户交流,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",['B2'],标准站,['教育'],高教,Q2~Q3,28,4.5,1.2,
4,4,自主,合肥,,华东,20,Q3,11月,1732896000000.0,是,是,否,覆盖安徽重点公交能客户，通过展示能源相关案例，提升行业影响力,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B2', 'B3']",精品站,['重点行业'],,,15,3.5,,
,3,自主,上海,,华东,15,Q3,11月,1732896000000.0,否,是,否,邀请上海医院核心客户参观未来中心，分享交流,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B2', 'B3']",精品站,['政府'],医疗,Q4,10,3.5,1.12,
,3,自主,杭州,,东南,20,Q3,12月,1733328000000.0,是,是,否,主要针对浙江制造业客户群，以智能制造和供应链等内容为核心的沟通交流,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B2', 'B3']",精品站,['重点行业'],重点行业,Q3-Q4,15,3.5,1.2,
,3,自主,成都,,西南,30,Q3,12月,1733500800000.0,是,否,否,邀请川内制造行业客户，深耕客户，助力产单,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B2', 'B3']",标准站,['制造'],制造,Q3-Q4,20,4.5,1.2,
3,1,,长沙,,中东,40,Q3,12月,1733846400000.0,TBD,是,否,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,标准站,['政府'],,,20,4,,
,3,自主,金华,,东南,20,Q3,12月,1734019200000.0,是,,否,针对金华、衢州两地的制造客户做方案交流,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B2', 'B3']",精品站,['制造'],制造,Q3-Q4,15,3.5,1.2,
,3,自主,上海,,华东,30,Q3,12月,1734624000000.0,是,是,否,邀请上海制造行业客户，深耕客户，助力产单,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",['B2'],标准站,['制造'],,Q3-Q4,20,4.5,1.2,
2,2,与行业协会合作,广州,,华南,15,Q4,2月,1740672000000.0,是,是,否,中山医系医院客户圈层,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",['B2'],精品站,['医疗'],医疗,Q4-Q1,15,3.5,1.1,
,5,自主,长春,,东北,15,Q3,12月,1735315200000.0,是,,否,邀请吉林省高教客户进行产品交流，深耕客户,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B2', 'B3']",精品站,['教育'],高教,Q4,10,3.5,1.12,
,2,自主,重庆,,西南,15,Q3,12月,1735315200000.0,是,是,否,依托重庆医疗协会，邀请重庆医科大学附属儿童医院、重庆医科大学附属第一医院等医疗机构,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B3', 'B2']",精品站,['医疗'],医疗,Q4,10,3.5,1,
,,,,,西北,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
3,4,,武汉,,中东,20,Q3,11月,1730995200000.0,是,否,否,湖北头部制造客户,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,精品站,['制造'],制造,,20,4.5,,
,,,合肥,,华东,15,Q3,11月,1731254400000.0,是,是,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,精品站,['教育'],普教,,,,1.2,
,3,自主,长春,,东北,15,Q4,1月,1737043200000.0,是,,否,邀请吉林金融行业客户进行产品推广、交流沟通,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B2', 'B3']",精品站,['金融'],金融,Q4,10,3.5,1.12,
,,自主,杭州,,东南,15,Q4,1月,1736006400000.0,是,,否,浙江制造客户交流,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B2', 'B3']",精品站,['制造'],制造,Q4,15,3.5,1,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,11月,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,Q3,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,['制造'],,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
,,,,,,,,,,,,,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",,,,,,,,,
